Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/database/raw/certfr_dump_root

===== YEAR 2000 (CERTA, 3 digits) =====
[=] CERTA-2001-AVI-013 (no change) | 0 CVE
[=] CERTA-2001-AVI-014 (no change) | 0 CVE
[=] CERTA-2001-AVI-015 (no change) | 0 CVE
[=] CERTA-2001-AVI-016 (no change) | 0 CVE
[=] CERTA-2001-AVI-017 (no change) | 0 CVE
[=] CERTA-2001-AVI-018 (no change) | 0 CVE
[=] CERTA-2001-AVI-019 (no change) | 0 CVE
[=] CERTA-2001-AVI-020 (no change) | 0 CVE
[=] CERTA-2001-AVI-021 (no change) | 0 CVE
[=] CERTA-2001-AVI-022 (no change) | 0 CVE
[=] CERTA-2001-AVI-023 (no change) | 0 CVE
[=] CERTA-2001-AVI-024 (no change) | 0 CVE
[=] CERTA-2001-AVI-025 (no change) | 0 CVE
[=] CERTA-2001-AVI-026 (no change) | 0 CVE
[=] CERTA-2001-AVI-027 (no change) | 0 CVE
[=] CERTA-2001-AVI-028 (no change) | 0 CVE
[=] CERTA-2001-AVI-029 (no change) | 0 CVE
[=] CERTA-2001-AVI-031 (no change) | 0 CVE
[=] CERTA-2001-AVI-032 (no change) | 0 CVE
[=] CERTA-2001-AVI-033 (no change) | 0 CVE
[=] CERTA-2001-AVI-034 (no change) | 0 CVE
[=] CERTA-2001-AVI-035 (no change) | 0 CVE
[=] CERTA-2001-AVI-036 (no change) | 0 CVE
[=] CERTA-2001-AVI-037 (no change) | 0 CVE
[=] CERTA-2001-AVI-038 (no change) | 0 CVE
[=] CERTA-2001-AVI-039 (no change) | 0 CVE
[=] CERTA-2001-AVI-040 (no change) | 0 CVE
[=] CERTA-2001-AVI-041 (no change) | 0 CVE
[=] CERTA-2001-AVI-042 (no change) | 0 CVE
[=] CERTA-2001-AVI-043 (no change) | 0 CVE
[=] CERTA-2001-AVI-044 (no change) | 0 CVE
[=] CERTA-2001-AVI-045 (no change) | 0 CVE
[=] CERTA-2001-AVI-046 (no change) | 0 CVE
[=] CERTA-2001-AVI-047 (no change) | 0 CVE
[=] CERTA-2001-AVI-048 (no change) | 0 CVE
[=] CERTA-2001-AVI-049 (no change) | 0 CVE
[=] CERTA-2001-AVI-050 (no change) | 0 CVE
[=] CERTA-2001-AVI-051 (no change) | 0 CVE
[=] CERTA-2001-AVI-052 (no change) | 0 CVE
[=] CERTA-2001-AVI-053 (no change) | 0 CVE
[=] CERTA-2001-AVI-054 (no change) | 0 CVE
[=] CERTA-2001-AVI-055 (no change) | 0 CVE
[=] CERTA-2001-AVI-056 (no change) | 0 CVE
[=] CERTA-2001-AVI-057 (no change) | 0 CVE
[=] CERTA-2001-AVI-058 (no change) | 0 CVE
[=] CERTA-2001-AVI-059 (no change) | 0 CVE
[=] CERTA-2001-AVI-060 (no change) | 0 CVE
[=] CERTA-2001-AVI-061 (no change) | 0 CVE
[=] CERTA-2001-AVI-062 (no change) | 0 CVE
[=] CERTA-2001-AVI-063 (no change) | 0 CVE
[=] CERTA-2001-AVI-064 (no change) | 0 CVE
[=] CERTA-2001-AVI-065 (no change) | 0 CVE
[=] CERTA-2001-AVI-066 (no change) | 0 CVE
[=] CERTA-2001-AVI-067 (no change) | 0 CVE
[=] CERTA-2001-AVI-068 (no change) | 0 CVE
[=] CERTA-2001-AVI-069 (no change) | 0 CVE
[=] CERTA-2001-AVI-070 (no change) | 0 CVE
[=] CERTA-2001-AVI-071 (no change) | 0 CVE
[=] CERTA-2001-AVI-072 (no change) | 0 CVE
[=] CERTA-2001-AVI-073 (no change) | 0 CVE
[=] CERTA-2001-AVI-074 (no change) | 0 CVE
[=] CERTA-2001-AVI-075 (no change) | 0 CVE
[=] CERTA-2001-AVI-076 (no change) | 0 CVE
[=] CERTA-2001-AVI-077 (no change) | 0 CVE
[=] CERTA-2001-AVI-078 (no change) | 0 CVE
[=] CERTA-2001-AVI-079 (no change) | 0 CVE
[=] CERTA-2001-AVI-080 (no change) | 0 CVE
[=] CERTA-2001-AVI-081 (no change) | 0 CVE
[=] CERTA-2001-AVI-082 (no change) | 0 CVE
[=] CERTA-2001-AVI-083 (no change) | 0 CVE
[=] CERTA-2001-AVI-084 (no change) | 0 CVE
[=] CERTA-2001-AVI-085 (no change) | 0 CVE
[=] CERTA-2001-AVI-086 (no change) | 0 CVE
[=] CERTA-2001-AVI-087 (no change) | 0 CVE
[=] CERTA-2001-AVI-088 (no change) | 0 CVE
[=] CERTA-2001-AVI-089 (no change) | 0 CVE
[=] CERTA-2001-AVI-090 (no change) | 0 CVE
[=] CERTA-2001-AVI-091 (no change) | 0 CVE
[=] CERTA-2001-AVI-092 (no change) | 0 CVE
[=] CERTA-2001-AVI-093 (no change) | 0 CVE
[=] CERTA-2001-AVI-094 (no change) | 0 CVE
[=] CERTA-2001-AVI-095 (no change) | 0 CVE
[=] CERTA-2001-AVI-096 (no change) | 0 CVE
[=] CERTA-2001-AVI-097 (no change) | 0 CVE
[=] CERTA-2001-AVI-098 (no change) | 0 CVE
[=] CERTA-2001-AVI-099 (no change) | 0 CVE
[=] CERTA-2001-AVI-100 (no change) | 0 CVE
[=] CERTA-2001-AVI-101 (no change) | 0 CVE
[=] CERTA-2001-AVI-102 (no change) | 0 CVE
[=] CERTA-2001-AVI-103 (no change) | 0 CVE
[=] CERTA-2001-AVI-104 (no change) | 0 CVE
[=] CERTA-2001-AVI-105 (no change) | 0 CVE
[=] CERTA-2001-AVI-106 (no change) | 0 CVE
[=] CERTA-2001-AVI-107 (no change) | 0 CVE
[=] CERTA-2001-AVI-108 (no change) | 0 CVE
[=] CERTA-2001-AVI-109 (no change) | 0 CVE
[=] CERTA-2001-AVI-110 (no change) | 0 CVE
[=] CERTA-2001-AVI-111 (no change) | 0 CVE
[=] CERTA-2001-AVI-112 (no change) | 0 CVE
[=] CERTA-2001-AVI-113 (no change) | 0 CVE
[=] CERTA-2001-AVI-114 (no change) | 0 CVE
[=] CERTA-2001-AVI-115 (no change) | 0 CVE
[=] CERTA-2001-AVI-116 (no change) | 0 CVE
[=] CERTA-2001-AVI-117 (no change) | 0 CVE
[=] CERTA-2001-AVI-118 (no change) | 0 CVE
[=] CERTA-2001-AVI-119 (no change) | 0 CVE
[=] CERTA-2001-AVI-120 (no change) | 0 CVE
[=] CERTA-2001-AVI-121 (no change) | 0 CVE
[=] CERTA-2001-AVI-122 (no change) | 0 CVE
[=] CERTA-2001-AVI-123 (no change) | 0 CVE
[=] CERTA-2001-AVI-124 (no change) | 0 CVE
[=] CERTA-2001-AVI-125 (no change) | 0 CVE
[=] CERTA-2001-AVI-126 (no change) | 0 CVE
[=] CERTA-2001-AVI-127 (no change) | 0 CVE
[=] CERTA-2001-AVI-128 (no change) | 0 CVE
[=] CERTA-2001-AVI-129 (no change) | 0 CVE
[=] CERTA-2001-AVI-130 (no change) | 0 CVE
[=] CERTA-2001-AVI-131 (no change) | 0 CVE
[=] CERTA-2001-AVI-132 (no change) | 0 CVE
[=] CERTA-2001-AVI-133 (no change) | 0 CVE
[=] CERTA-2001-AVI-134 (no change) | 0 CVE
[=] CERTA-2001-AVI-135 (no change) | 0 CVE
[=] CERTA-2001-AVI-136 (no change) | 0 CVE
[=] CERTA-2001-AVI-137 (no change) | 0 CVE
[=] CERTA-2001-AVI-138 (no change) | 0 CVE
[=] CERTA-2001-AVI-139 (no change) | 0 CVE
[=] CERTA-2001-AVI-140 (no change) | 0 CVE
[=] CERTA-2001-AVI-141 (no change) | 0 CVE
